order_index "Customer coordinate" "order time" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "Actual production time 1" "Actual production time 2" "Actual production time 3" "vehicle type 1" "vehicle type 2" "vehicle type 3" "total vehicle cost 1" "total vehicle cost 2" "total vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
239 8289 18:17:25 4 8.02 3993 2004.52 13 12.97 4814 2419.97 17 16.65 5311 2672.15 11 12 6 10 3 11 3 44.0 6.0 36.666666666666664 3 3 3 5.304333333333332 8.642 9.4405 3.3875511027056655 3.7167398153056395 4.336243777086365
273 7417 18:25:02 10 6.2 1911 961.7 3 6.85 2166 1089.85 7 7.18 2109 1061.68 7 9 13 12 12 2 2 9.0 42.0 45.5 3 3 3 3.5036666666666667 4.418333333333333 4.734999999999999 1.390416562080926 1.8335953611105191 1.883532552560221
287 1918 18:26:48 13 3.1 940 473.1 0 12.12 3556 1790.12 7 9.75 3049 1534.25 1 6 12 12 11 1 2 6.0 12.0 12.0 0 0 0 0.5998300000000001 1.8212866666666665 1.5945833333333335 -0.790693889244615 -0.5834616121571118 -0.30948101241407827
330 6111 18:33:51 0 3.75 1064 535.75 6 9.82 3052 1535.82 2 8.62 2527 1272.12 1 12 9 7 1 5 5 12.0 7.0 9.0 0 0 0 0.4374633333333333 1.4483266666666665 1.3443333333333334 -0.9896059284068287 -0.738879824613746 -0.6099834787952676
332 6033 18:34:05 9 12.08 4328 2176.08 15 20.08 7125 3582.58 14 11.38 3610 1816.38 4 12 10 10 3 5 1 40.0 16.0 10.0 0 0 0 2.1301900000000002 1.9640733333333333 2.6185599999999996 -0.039559846928671344 0.2248437976617647 1.1439129176162448
345 3192 18:35:29 13 17.7 6375 3205.2 4 11.28 5477 2749.78 7 18.05 6267 3151.55 5 6 12 12 11 3 2 20.0 30.0 6.0 1 1 1 3.634646666666667 4.320639999999999 3.719643333333334 0.801698773781853 1.6773140906065502 1.7984823251488051
356 11134 18:38:07 12 9.03 2978 1498.03 9 10.47 3445 1732.97 10 7.28 2144 1079.28 1 13 12 9 1 3 12 9.0 13.0 12.0 0 0 0 1.1485333333333334 1.4797833333333332 1.6907866666666664 -0.5204900170659903 -0.5193172426675396 -0.1917148134737828
357 5371 18:38:15 9 15.25 5037 2533.75 12 9.05 3634 1826.05 10 13.33 4415 2220.83 1 12 13 9 3 1 12 13.0 9.0 12.0 0 0 0 1.6029066666666667 2.3267366666666667 2.3811133333333334 -0.0324886947938839 -0.019637031175137182 0.23167890485783724
358 1323 18:38:17 9 13.38 4623 2324.88 10 10.58 3480 1750.58 12 10.47 3019 1519.97 1 12 9 13 3 12 1 13.0 9.0 12.0 0 0 0 1.7784433333333334 1.85007 2.0317066666666665 -0.2642146987149139 -0.11135801608004596 0.13935110575085252
366 11174 18:39:13 4 4.77 2188 1098.77 13 10.93 3593 1807.43 7 20.1 6920 3480.1 1 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 1.1438666666666666 1.6967466666666666 2.751463333333333 -0.42431712892984685 -0.29147961619376306 0.260667638097678
371 3308 18:40:11 9 12.1 4136 2080.1 10 17.83 6366 3200.83 14 12.93 6512 3268.93 4 12 9 10 3 12 1 16.0 9.0 40.0 0 0 0 1.9873633333333336 3.048263333333333 2.8593666666666664 0.462996740158312 0.7597132427784897 0.8443255522642925
383 9186 18:43:03 2 8.47 2629 1322.97 7 6.15 1874 943.15 13 5.37 1716 863.37 2 7 12 6 5 2 11 6.0 12.0 7.0 0 0 0 0.9521066666666667 1.2051366666666667 1.2977466666666668 -0.8526330082181608 -0.754077188093266 -0.4874941024058417
391 5676 18:44:15 13 9.85 3388 1703.85 7 3.77 1171 589.27 2 9.13 2569 1293.63 4 6 12 7 11 2 5 24.0 7.0 6.0 0 0 0 0.8425766666666668 1.9402400000000002 1.7015933333333333 -0.4578260715534932 -0.35642698998269395 -0.31657701015576367
408 3819 18:46:53 6 4.15 1328 668.15 11 6.63 2194 1103.63 0 9.33 2937 1477.83 2 9 14 12 5 2 1 9.0 14.0 24.0 0 0 0 0.5933866666666667 1.1886466666666666 1.4313366666666667 -0.8461409176588472 -0.6989069584709509 -0.4222676440890978
413 6930 18:48:01 13 13.33 4434 2230.33 16 14.12 4803 2415.62 17 12.37 3790 1907.37 3 6 10 10 11 11 3 10.0 6.0 10.0 0 0 0 2.0183933333333335 2.3766833333333333 2.4965666666666664 0.15820205712183685 0.176698594902787 0.327410814687778
422 1997 18:49:39 2 8.07 2489 1252.57 0 7.7 2144 1079.7 13 6.52 2020 1016.52 2 7 12 6 5 1 11 6.0 24.0 7.0 0 0 0 1.2963666666666667 1.11056 1.45188 -0.7831443956085767 -0.47901659385510287 -0.22043292569792414
435 7313 18:51:28 1 8.05 2883 1449.55 9 8.0 2810 1413.0 11 5.67 1721 866.17 5 8 12 14 5 3 2 35.0 20.0 8.0 1 1 1 1.4653166666666666 1.72211 2.002186666666667 -0.4706964714552243 -0.17943329713972367 0.42278471691225694
452 8371 18:53:28 9 6.9 2221 1117.4 15 11.9 4099 2061.4 11 10.53 3652 1836.53 2 12 10 14 3 5 2 12.0 14.0 10.0 0 0 0 1.02502 1.9021033333333333 1.8473866666666667 -0.4473529048746426 -0.3948955123597355 -0.19108778863593479
457 7904 18:54:11 14 8.12 2588 1302.12 15 15.7 5525 2778.2 9 13.03 4889 2457.53 1 10 10 12 1 5 3 10.0 12.0 10.0 0 0 0 1.4034466666666665 2.0526133333333334 2.2368699999999997 -0.26369121165437676 -0.09074833579986075 -0.06853833602301986
472 5352 18:55:57 1 7.85 2762 1388.85 9 9.27 2941 1479.77 11 5.47 1600 805.47 3 8 12 14 5 3 2 21.0 8.0 12.0 0 0 0 0.7989633333333334 1.16342 1.3761166666666669 -0.7662417677117208 -0.7150699080859415 -0.4218517838297191
476 5430 18:56:48 9 11.62 3741 1882.12 10 13.92 4821 2424.42 12 14.33 5446 2737.33 4 12 9 13 3 12 1 16.0 9.0 52.0 0 0 0 1.8801466666666666 2.6437133333333334 2.6839733333333333 0.3764883095923432 0.42754680709619797 1.1111673350757574
480 1175 18:57:15 15 6.3 2302 1157.3 9 12.08 3807 1915.58 11 11.85 3963 1993.35 4 10 12 14 5 3 2 10.0 16.0 28.0 0 0 0 0.8662666666666667 2.00344 2.1471799999999996 -0.5731905232355186 -0.01714171375372914 0.15342737566909942
