order_index Customer_coordinate 1st_restaurant Duration_restaurant1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 vehicle_type_2 vehicle_type_3 total_vehicle_cost_1 total_vehicle_cost_2 total_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
18 215 2799 2 3.45 984 495.45 7 7.85 2078 1046.85 0 6.88 2042 1027.88 1 7 12 12 5 2 1 7.0 12.0 12.0 0 0 0 0.5040300000000001 1.1950800000000001 1.2627133333333334 -0.7392520948871759 -0.6474196898800593 -0.5910838040825731
19 229 10793 9 5.38 1556 783.38 15 14.52 5039 2534.02 11 11.67 3970 1996.67 1 12 10 14 3 5 2 12.0 14.0 10.0 0 0 0 0.7217833333333333 1.9164766666666666 2.0875333333333335 -0.510414697600519 -0.16717674826458137 -0.13374179627614396
20 239 8289 13 12.97 4814 2419.97 4 8.02 3993 2004.52 17 16.65 5311 2672.15 11 6 12 10 11 3 3 44.0 6.0 36.666666666666664 3 3 3 5.304333333333332 8.642 9.4405 2.299979734516364 2.3976115117392465 2.9346972762447727
21 273 7417 10 6.2 1911 961.7 3 6.85 2166 1089.85 7 7.18 2109 1061.68 7 9 13 12 12 2 2 9.0 42.0 45.5 3 3 3 3.5036666666666667 4.418333333333333 4.734999999999999 0.8625710355888262 1.3499440468493598 1.3687416677691253
22 287 1918 13 3.1 940 473.1 0 12.12 3556 1790.12 7 9.75 3049 1534.25 1 6 12 12 11 1 2 6.0 12.0 12.0 0 0 0 0.5998300000000001 1.8212866666666665 1.5945833333333335 -0.5733455868569154 -0.454516317728376 -0.2696693968729772
23 330 6111 0 3.75 1064 535.75 6 9.82 3052 1535.82 2 8.62 2527 1272.12 1 12 9 7 1 5 5 12.0 7.0 9.0 0 0 0 0.4374633333333333 1.4483266666666665 1.3443333333333334 -0.7305904622269335 -0.5611186189233476 -0.4905257979066452
24 332 6033 9 12.08 4328 2176.08 15 20.08 7125 3582.58 14 11.38 3610 1816.38 4 12 10 10 3 5 1 40.0 16.0 10.0 0 0 0 2.1301900000000002 1.9640733333333333 2.6185599999999996 -0.030240499148424266 0.15404342138515373 0.9685343008023973
25 345 3192 13 17.7 6375 3205.2 4 11.28 5477 2749.78 7 18.05 6267 3151.55 5 6 12 12 11 3 2 20.0 30.0 6.0 1 1 1 3.634646666666667 4.320639999999999 3.719643333333334 0.5161116390968675 1.115855968465702 1.3045539714888874
26 356 11134 9 10.47 3445 1732.97 12 9.03 2978 1498.03 10 7.28 2144 1079.28 1 12 13 9 3 1 12 9.0 13.0 12.0 0 0 0 1.1485333333333334 1.4797833333333332 1.6907866666666664 -0.4091381955238233 -0.4077499459182209 -0.11517688881133703
27 357 5371 12 9.05 3634 1826.05 9 15.25 5037 2533.75 10 13.33 4415 2220.83 1 13 12 9 1 3 12 13.0 9.0 12.0 0 0 0 1.6029066666666667 2.3267366666666667 2.3811133333333334 -0.05970215374820306 -0.05697068781623892 0.16355105308366397
28 358 1323 9 13.38 4623 2324.88 10 10.58 3480 1750.58 12 10.47 3019 1519.97 1 12 9 13 3 12 1 13.0 9.0 12.0 0 0 0 1.7784433333333334 1.85007 2.0317066666666665 -0.22053843066141143 -0.07769311666825147 0.05423908290144061
29 366 11174 4 4.77 2188 1098.77 13 10.93 3593 1807.43 7 20.1 6920 3480.1 1 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 1.1438666666666666 1.6967466666666666 2.751463333333333 -0.34658162616620886 -0.2250723309337101 0.16394199777959184
30 371 3308 9 12.1 4136 2080.1 10 17.83 6366 3200.83 14 12.93 6512 3268.93 4 12 9 10 3 12 1 16.0 9.0 40.0 0 0 0 1.9873633333333336 3.048263333333333 2.8593666666666664 0.32427085654438237 0.5375024865552802 0.7265513623164856
31 383 9186 2 8.47 2629 1322.97 7 6.15 1874 943.15 13 5.37 1716 863.37 2 7 12 6 5 2 11 6.0 12.0 7.0 0 0 0 0.9521066666666667 1.2051366666666667 1.2977466666666668 -0.6657842077786049 -0.5826859844894363 -0.3605484046383558
32 391 5676 13 9.85 3388 1703.85 2 9.13 2569 1293.63 7 3.77 1171 589.27 4 6 7 12 11 5 2 24.0 7.0 6.0 0 0 0 0.8425766666666668 1.9402400000000002 1.7015933333333333 -0.34975506549283136 -0.30216802481621824 -0.20137327876729683
33 408 3819 6 4.15 1328 668.15 11 6.63 2194 1103.63 0 9.33 2937 1477.83 2 9 14 12 5 2 1 9.0 14.0 24.0 0 0 0 0.5933866666666667 1.1886466666666666 1.4313366666666667 -0.6271391020785728 -0.5239942951460234 -0.26147805478019326
34 413 6930 13 13.33 4434 2230.33 16 14.12 4803 2415.62 17 12.37 3790 1907.37 3 6 10 10 11 11 3 10.0 6.0 10.0 0 0 0 2.0183933333333335 2.3766833333333333 2.4965666666666664 0.07940803343318431 0.1296952844983615 0.18072189211384945
