order_index Customer_coordinate order_time 1st_restaurant Duration_restaurant1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 vehicle_type_2 vehicle_type_3 total_vehicle_cost_1 total_vehicle_cost_2 total_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
0 0 5441 15:16:49 7 2.87 892 448.87 13 8.95 3109 1563.45 2 8.23 2290 1153.23 2 1810 11239 10909 7.6 10.82 8.72 2276 3308 2939 12 6 7 2 11 5 12.0 7.0 6.0 0 0 0 0.24808666666666668 0.7169233333333334 0.7087333333333334 0.6560933333333333 0.9347466666666667 0.7560566666666667 0.90418 1.6434800000000003 1.4729800000000002 3168 5598 6048 -0.6673217884794165 -0.6007968526893811 -0.5090022271168992
1 14 1026 16:27:31 4 10.35 6229 3124.85 13 18.4 6072 3054.4 7 14.42 4741 2384.92 1 1810 10909 1109 14.25 15.18 15.6 4718 4903 9556 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 1.5956233333333332 1.5940533333333333 1.2490766666666666 1.23468 1.31403 1.3955600000000001 2.4837566666666664 2.9080833333333334 2.9911833333333333 9459 10975 15785 0.1539201561480104 0.5928035426215529 0.7297349988205936
2 16 10727 16:33:53 7 6.57 1855 934.07 3 6.6 1825 919.1 8 8.02 2341 1178.52 2 604 1810 114 2.03 7.4 6.08 589 2067 1891 12 13 13 2 2 1 13.0 12.0 26.0 0 0 0 0.5660499999999999 0.56825 0.57091 0.17505666666666667 0.6373366666666667 0.5255766666666666 0.7433066666666667 1.2033866666666666 1.0964866666666666 2414 3922 4232 -0.7441400784949985 -0.6479599547336481 -0.578012513425026
3 24 1258 16:38:02 9 9.37 3272 1645.37 1 8.57 3103 1560.07 11 6.18 1941 976.68 1 4557 6678 4831 6.73 8.48 5.95 2143 3010 2131 12 8 14 3 5 2 14.0 8.0 12.0 0 0 0 0.7468866666666667 0.7451966666666667 0.53441 0.5822633333333334 0.7367666666666667 0.5171433333333334 1.1166733333333334 1.4819633333333333 1.26403 4084 6113 5403 -0.7707032453129243 -0.566097461004963 -0.3765801673530696
4 45 226 17:02:36 15 9.43 3289 1653.93 11 12.15 3894 1959.15 9 9.08 2849 1433.58 2 4831 10884 4557 8.67 6.5 12.62 3085 2015 4231 10 14 12 5 2 3 12.0 10.0 14.0 0 0 0 0.8187233333333332 0.8247733333333332 0.7851566666666667 0.75335 0.5618166666666667 1.0939766666666666 1.5385066666666667 1.3805399999999999 1.9187499999999997 5934 5304 8125 -0.5494018323990296 -0.3314930682684555 -0.0362953756477135
5 59 11004 17:10:35 7 0.22 48 24.22 2 7.6 2164 1089.6 3 10.25 2817 1418.75 6 1810 11239 604 1.32 8.92 8.38 324 2437 2396 12 7 13 2 5 2 36.0 8.4 39.0 1 1 1 0.027106666666666668 0.9515866666666665 0.9711766666666665 0.16372000000000003 1.1137766666666666 1.0495466666666668 0.1908266666666667 2.065363333333333 2.020723333333333 372 4601 5213 -0.5711766593667594 -0.24870726834304083 0.3388361024550492
6 93 11232 17:27:39 4 5.9 2599 1305.4 13 11.33 4215 2118.83 7 19.97 6863 3451.47 2 1109 10909 1810 7.22 9.92 21.73 3918 3555 7283 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 0.5176566666666667 0.9863166666666666 1.0127966666666666 0.6408466666666667 0.8622166666666666 1.8836633333333335 1.1585033333333334 1.8485333333333331 2.8964600000000003 6517 7770 14146 -0.3833745683365807 -0.19462864227019044 0.33261852555741533
7 97 3969 17:30:11 0 8.1 2140 1078.1 6 9.53 3194 1606.53 13 6.78 2073 1043.28 1 10909 895 10877 6.83 7.15 13.68 2119 2012 3958 12 9 6 1 5 11 6.0 12.0 9.0 0 0 0 0.6963999999999999 0.7069399999999999 0.5857300000000001 0.5903566666666666 0.6159533333333334 1.17958 1.1760866666666667 1.3123533333333333 1.88652 4192 4152 7152 -0.6660792405586426 -0.4645930656562659 -0.29562840612589153
8 100 11089 17:31:04 9 12.25 4676 2350.25 15 16.62 5827 2930.12 14 9.58 3144 1581.58 1 10755 4831 10884 11.2 9.2 15.75 3873 3384 5445 12 10 10 3 5 1 10.0 12.0 10.0 0 0 0 1.0675933333333332 1.0791033333333333 0.8297733333333334 0.9720633333333333 0.8005066666666666 1.36695 1.8018366666666665 1.8680999999999996 2.4460533333333334 7017 8060 11272 -0.1939185416828879 0.042649737519365016 0.04889695778303907
9 105 4872 17:34:28 13 4.0 1203 605.5 7 10.93 3351 1686.43 0 11.87 3173 1598.37 1 10909 895 1810 3.6 9.38 12.92 1243 2826 4023 6 12 12 11 2 1 6.0 12.0 12.0 0 0 0 0.3453633333333333 1.0226766666666667 1.0208966666666666 0.31243000000000004 0.8099266666666667 1.1168966666666666 0.6577933333333333 1.8308233333333332 2.1395733333333333 2446 5999 7374 -0.7263962984952504 -0.30267025561666383 -0.27268335034944974
