order_index "Customer coordinate" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "vehicle type 1" "Min vehicle cost 1" "vehicle type 2" "Min vehicle cost 2" "vehicle type 3" "Min vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
357 1323 11 607 3242 2228.0 9 645 3777 2533.5 8 763 4381 2953.5 1 14 12 13 2 3 1 2 1071.6271666666667 2 1076.19425 2 1076.34525 5454.2815 5778.28275 6188.83575
358 11174 12 517 3165 2099.5 3 491 4282 2632.0 6 1226 6893 4672.5 1 13 13 9 1 2 5 2 1061.1079166666666 2 1058.3538333333333 2 1059.0065833333333 5289.12375 5818.3615 7875.419749999999
366 3308 8 648 3767 2531.5 9 1035 6127 4098.5 11 1072 6321 4232.5 1 13 12 14 1 3 2 2 1076.5417499999999 2 1122.28175 2 1122.33025 5767.42525 7481.54525 7610.89075
371 9186 12 338 1828 1252.0 6 469 2223 1580.5 1 527 2729 1891.5 4 13 9 8 1 5 5 2 1039.8903333333335 2 1055.2724166666667 2 1055.3989166666668 4377.9710000000005 4772.21725 5083.49675
383 5676 6 360 1670 1195.0 2 540 2537 1808.5 12 628 3438 2347.0 2 9 7 13 5 5 1 2 1042.4175 2 1063.63425 2 1063.8595 4348.1525 5025.10275 5544.878500000001
391 3819 5 161 1094 708.0 10 426 2254 1553.0 1 525 2970 2010.0 4 6 9 8 10 12 5 2 1019.0568333333333 2 1050.2635 2 1050.4425 3815.7705 4764.690500000001 5187.1275000000005
408 6930 16 659 3466 2392.0 3 536 3720 2396.0 12 844 4901 3294.5 2 10 13 13 11 2 1 2 1077.7498333333333 2 1063.4633333333334 2 1063.7585833333333 5681.2495 5597.6900000000005 6492.07575
413 1997 6 536 2639 1855.5 12 508 2700 1858.0 1 544 2949 2018.5 3 9 13 8 5 1 5 2 1063.1930833333333 2 1059.9416666666666 2 1060.0039166666666 5070.97925 5044.125 5224.31175
422 7313 8 332 1977 1320.5 10 357 1934 1324.0 0 462 2801 1862.5 2 13 9 12 1 12 1 2 1039.2275833333333 2 1042.1335000000001 2 1042.3502500000002 4444.48275 4511.300500000001 4995.75075
435 8371 8 297 1531 1062.5 14 644 3473 2380.5 10 683 3975 2670.5 5 13 10 9 1 1 12 2 1035.03275 2 1076.0015833333332 2 1076.1270833333333 4173.89825 5614.50475 5959.78125
452 7904 13 486 2590 1781.0 14 759 4162 2840.0 8 628 4539 2897.5 2 6 10 13 11 1 1 2 1057.3475 2 1089.5905 2 1089.68475 5008.6425 6114.7715 6172.85425
457 5352 10 227 1213 833.5 0 332 2080 1372.0 8 477 3004 1979.0 1 9 12 13 12 1 1 2 1026.7865833333333 2 1039.2533333333333 2 1039.4843333333333 3974.7597499999997 4495.96 5103.753
472 5430 8 607 3107 2160.5 9 994 5467 3727.5 11 1016 5868 3950.0 3 13 12 14 1 3 2 2 1071.5934166666666 2 1117.3334166666666 2 1117.4336666666668 5381.58025 7095.70025 7313.701000000001
476 1175 14 221 1158 800.0 13 594 3915 2551.5 8 661 4037 2679.5 4 10 6 13 1 11 1 2 1026.0728333333334 2 1070.27875 2 1070.30925 3884.2185 5817.93625 5896.72775
480 349 6 561 3072 2097.0 2 627 3517 2385.5 7 870 4819 3279.5 4 9 7 12 5 5 2 2 1066.218 2 1074.02925 2 1074.3547500000002 5321.554 5633.2877499999995 6513.76425
483 7600 12 371 1933 1337.5 6 874 4370 3059.0 1 905 4712 3261.0 2 13 9 8 1 5 5 2 1043.7665833333333 2 1103.0591666666667 2 1103.1446666666668 4475.09975 6394.077499999999 6596.234
489 1096 14 397 2150 1472.0 10 555 2928 2019.0 0 614 3170 2199.0 4 10 9 12 1 12 1 2 1046.8541666666665 2 1065.482 2 1065.5425 4618.5625 5276.346 5401.827499999999
493 1945 4 326 1742 1197.0 15 464 2558 1743.0 5 572 3084 2114.0 1 12 10 6 3 5 10 2 1038.4688333333334 2 1054.7728333333334 2 1054.9043333333334 4328.6065 4933.3185 5329.313
495 5697 12 510 3000 2010.0 3 473 4584 2765.0 6 1204 6899 4653.5 1 13 13 9 1 2 5 2 1060.25 2 1056.3293333333334 2 1056.9080833333335 5197.05 5945.2880000000005 7850.12425
503 8760 6 465 2344 1637.0 2 606 3360 2286.0 12 639 3442 2360.0 1 9 7 13 5 5 1 2 1054.836 2 1071.54 2 1071.5605 4827.407999999999 5526.32 5580.9815
510 10653 14 271 1467 1004.5 0 748 4085 2790.5 13 597 4394 2794.0 2 10 12 6 1 1 11 2 1031.9834166666665 2 1088.2879166666667 2 1088.3651666666667 4106.45025 6061.563749999999 6114.6955
556 10158 8 278 1743 1149.5 10 505 2999 2004.5 14 587 3232 2203.0 3 13 9 10 1 12 1 2 1032.8690833333335 2 1059.6664166666667 2 1059.7246666666667 4254.40725 5244.39925 5388.174
560 3771 8 685 3965 2667.5 9 1072 6325 4234.5 13 850 7018 4359.0 1 13 12 6 1 3 11 2 1080.9079166666668 2 1126.6479166666666 2 1126.8211666666666 5916.52375 7630.643749999999 7795.0635
571 9680 11 208 1080 748.0 9 423 2266 1556.0 7 555 3007 2058.5 2 14 12 12 2 3 2 2 1024.5366666666666 2 1049.9164999999998 2 1050.1017499999998 3833.0099999999998 4721.9495 5220.005249999999
583 229 11 268 1344 940.0 7 555 2940 2025.0 9 651 3544 2423.0 3 14 12 12 2 2 3 2 1031.6026666666667 2 1065.485 2 1065.636 4046.208 5232.655 5636.108
613 1812 13 449 2478 1688.0 14 930 5024 3442.0 8 799 5401 3499.5 3 6 10 13 11 1 1 2 1053.0028333333335 2 1109.756 2 1109.85025 4902.6085 6777.268 6835.35075
614 3426 10 180 834 597.0 0 383 2023 1394.5 5 415 2520 1675.0 2 9 12 6 12 1 10 2 1021.2085 2 1045.1890833333334 2 1045.3133333333335 3721.5255 4536.26725 4861.540000000001
615 8848 2 636 3282 2277.0 7 673 4119 2732.5 6 923 4565 3205.5 4 7 12 9 5 2 5 2 1075.0205 2 1079.5464166666666 2 1079.6579166666666 5527.7615000000005 5982.339249999999 6470.37375
616 9416 10 291 1583 1082.5 14 506 2836 1924.0 0 492 2966 1975.0 6 9 10 12 12 1 1 2 1034.34575 2 1059.7423333333334 2 1059.7748333333334 4246.43725 5109.227 5160.5245
620 1255 8 375 1734 1242.0 13 868 4896 3316.0 9 912 5212 3518.0 1 13 6 12 1 11 3 2 1044.1835 2 1102.4906666666666 2 1102.5696666666668 4380.8505000000005 6679.072 6841.909
625 9428 12 214 997 712.5 6 709 3482 2450.0 1 764 4097 2812.5 3 13 9 8 1 5 5 2 1025.2159166666668 2 1083.5871666666667 2 1083.7409166666666 3794.4477500000003 5726.6615 6089.52275
648 3812 10 323 1780 1213.0 5 352 2054 1379.0 0 408 2251 1533.5 1 9 6 12 12 10 1 2 1038.1283333333333 2 1041.5801666666666 2 1041.6294166666667 4388.285 4554.3405 4664.58825
668 2324 9 319 1593 1115.5 11 550 2994 2047.0 8 568 3464 2300.0 2 12 14 13 3 2 1 2 1037.6149166666667 2 1064.9151666666667 2 1065.0326666666667 4244.54475 5253.1455000000005 5501.398
681 2085 10 345 1949 1319.5 5 374 2223 1485.5 0 430 2420 1640.0 2 9 6 12 12 10 1 2 1040.73725 2 1044.1890833333334 2 1044.2383333333335 4502.61175 4668.66725 4778.915
688 1925 14 196 974 683.0 0 623 3213 2229.5 10 645 3618 2454.0 3 10 12 9 1 1 12 2 1023.1101666666667 2 1073.4865833333333 2 1073.5878333333335 3758.3305 5456.15975 5735.663500000001
697 7086 11 99 656 427.0 7 446 2583 1737.5 9 524 2928 1988.0 3 14 12 12 2 2 3 2 1011.7139999999999 2 1052.6790833333332 2 1052.7653333333333 3473.542 4906.737249999999 5162.496
700 2795 6 441 2144 1513.0 12 470 2569 1754.5 1 556 2916 2014.0 4 9 13 8 5 1 5 2 1051.986 2 1055.4755833333334 2 1055.5623333333333 4694.858 4927.22675 5206.487
708 176 8 448 2684 1790.0 14 509 2622 1820.0 13 621 4032 2637.0 2 13 10 6 1 1 11 2 1052.9376666666667 2 1060.0388333333333 2 1060.3913333333333 4955.113 5006.1165 5873.773999999999
715 8697 5 127 601 427.5 4 390 2328 1554.0 1 491 2477 1729.5 1 6 12 8 10 3 5 2 1014.9669166666667 2 1046.082 2 1046.11925 3523.00075 4708.446 4893.65775
722 6715 6 426 2350 1601.0 2 538 2980 2028.0 12 721 4165 2803.5 7 9 7 13 5 5 1 3 20072.175 3 20091.15666666667 3 20091.74916666667 61843.424999999996 62327.170000000006 63085.04750000001
732 6545 12 590 3335 2257.5 3 631 5293 3277.5 6 1284 7234 4901.0 1 13 13 9 1 2 5 2 1069.6670833333333 2 1074.9399166666667 2 1075.4251666666669 5472.80125 6513.61975 8153.1755
742 8499 13 714 3760 2594.0 8 709 4181 2799.5 14 987 5332 3653.0 4 6 13 10 11 1 1 2 1084.24 2 1083.7619166666666 2 1084.0496666666668 5902.32 6057.08575 6911.149
784 5678 11 478 2389 1672.5 9 610 3283 2251.5 7 825 4316 2983.0 2 14 12 12 2 3 2 2 1056.3639166666667 2 1071.9874166666668 2 1072.2456666666667 4852.99175 5483.66225 6210.937
804 2368 4 276 1444 998.0 15 414 2260 1544.0 5 522 2786 1915.0 9 12 10 6 3 5 10 3 20046.722 3 20070.13 3 20070.393 61154.366 61780.39 62176.779
830 2960 2 201 1005 703.5 7 258 1252 884.0 11 517 2958 1996.0 4 7 12 14 5 2 2 2 1023.7012500000001 2 1030.413 2 1030.8394999999998 3800.30375 3986.4390000000003 5099.9185
839 9397 4 220 1214 827.0 5 352 1985 1344.5 15 494 2852 1920.0 2 12 6 10 3 10 5 2 1025.9701666666667 2 1041.5629166666665 2 1041.7796666666666 3921.1105 4519.78875 5071.339
859 7945 9 463 2431 1678.5 8 472 2764 1854.0 11 679 3682 2520.0 3 12 13 14 3 1 2 2 1054.6244166666665 2 1055.7576666666666 2 1055.9871666666666 4858.5732499999995 5027.573 5699.361499999999
861 1066 5 235 1326 898.0 1 509 2816 1917.0 4 600 3645 2422.5 1 6 8 12 10 5 3 2 1027.7481666666667 2 1060.0873333333332 2 1060.2945833333333 4031.8445 5123.062 5619.58375
870 5331 2 184 958 663.0 7 241 1205 843.5 11 500 2911 1955.5 5 7 12 14 5 2 2 2 1021.7061666666667 2 1028.4179166666665 2 1028.8444166666666 3753.8185000000003 3939.9537499999997 5053.43325
876 6224 11 192 1041 712.5 9 464 2407 1667.5 7 539 2968 2023.0 4 14 12 12 2 3 2 2 1022.66025 2 1054.7350833333335 2 1054.8753333333334 3791.8807500000003 4847.905250000001 5198.826
878 6333 6 230 1087 773.5 1 489 2369 1673.5 2 551 2866 1984.0 5 9 8 7 5 5 5 2 1027.1050833333334 2 1057.6422499999999 2 1057.7665 3880.71525 4872.22675 5182.9995
880 431 12 523 3229 2137.5 3 536 3822 2447.0 16 881 4798 3280.0 4 13 13 10 1 2 11 2 1061.8239166666667 2 1063.4888333333333 2 1063.7328333333332 5329.27175 5648.7665 6527.1984999999995
883 5114 12 469 3019 1978.5 3 602 5115 3159.5 16 1016 5548 3790.0 2 13 13 10 1 2 11 2 1055.4714166666668 2 1071.5120833333333 2 1071.6203333333333 5151.21425 6385.33625 7060.861
884 4741 13 336 1905 1288.5 14 891 5076 3429.0 8 824 6365 4006.5 1 6 10 13 11 1 1 2 1039.67625 2 1105.219 2 1105.54125 4463.12875 6750.657 7329.42375
